1,0,0,96,192
1,96,0,96,192
1,192,0,96,192
1,288,0,96,192
1,384,0,96,192
1,480,0,96,192
1,576,0,96,192
1,672,0,96,192
1,768,0,96,192
1,864,0,96,192
1,0,193,96,192
1,96,193,96,192
1,192,193,96,192
1,288,193,96,192
1,384,193,96,192
1,480,193,96,192
1,576,193,96,192
1,672,193,96,192
1,768,193,64,64
1,832,193,64,64
1,768,256,64,64
1,832,256,64,64
1,896,192,64,64
1,896,256,64,64
1,960,0,512,320
1,1472,0,512,320
1,960,320,1024,400
1,960,720,1024,400
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,1984,0,240,128
1,1984,128,240,128
1,1984,256,240,128
1,1984,384,240,128
